Date,User,Tweet,newTweet,newTweet1,tokens
2014-05-12 12:55:25+00:00,narendramodi,Today once again India has won! The power of the ballot has won &amp; spirit of democracy has emerged supreme. My Blog http://t.co/uTexNQPMn1,Today India power ballot spirit democracy emerged supreme Blog http co uTexNQPMn1,Today India power ballot spirit democracy emerged supreme Blog co uTexNQPMn1,today india power ballot spirit democracy emerge supreme blog utexnqpmn
2014-05-12 12:54:39+00:00,narendramodi,"Due to social media, lies &amp; false promises of several leaders could not go beyond the podiums of their rallies! More power to social media.",Due social media lies false promises several leaders could go beyond podiums rallies power social media,Due social media lies false promises several leaders could go beyond podiums rallies power social media,social media lie false promise leaders podiums rally power social media
2014-05-12 12:54:19+00:00,narendramodi,Wherever I went it was a delight to interact with local people. Social media also helped me understand their sentiments.,Wherever went delight interact local people Social media also helped understand sentiments,Wherever went delight interact local people Social media also helped understand sentiments,go delight interact local people social media help understand sentiments
2014-05-12 12:53:51+00:00,narendramodi,NDA remained firmly focussed on the agenda of development &amp; good governance &amp; ensured this became focal points of the entire campaign.,NDA remained firmly focussed agenda development good governance ensured became focal points entire campaign,NDA remained firmly focussed agenda development good governance ensured became focal points entire campaign,nda remain firmly focus agenda development good governance ensure focal point entire campaig
2014-05-12 12:53:13+00:00,narendramodi,"Usually ruling Party sets agenda of the election but in this campaign ruling party was neither proactive nor responsive,it remained reactive",Usually ruling Party sets agenda election campaign ruling party neither proactive responsive remained reactive,Usually ruling Party sets agenda election campaign ruling party neither proactive responsive remained reactive,usually rule party set agenda election campaign rule party proactive responsive remain reactive
2014-05-12 12:52:31+00:00,narendramodi,The biggest joy of 2014 Elections has been the increased turnout. Braving the scorching heat &amp; the rain people turned out in large numbers.,biggest joy 2014 Elections increased turnout Braving scorching heat rain people turned large numbers,biggest joy 2014 Elections increased turnout Braving scorching heat rain people turned large numbers,biggest joy elections increase turnout brave scorch heat rain people turn large number
2014-05-12 12:51:34+00:00,narendramodi,I congratulate the EC &amp; the entire election &amp; security staff for their continuous efforts during the entire Election.,congratulate EC entire election security staff continuous efforts entire Election,congratulate EC entire election security staff continuous efforts entire Election,congratulate entire election security staff continuous efforts entire electio
2014-05-12 12:50:49+00:00,narendramodi,India has voted! Congratulations to the people of India on the successful completion of 2014 Lok Sabha elections http://t.co/uTexNQPMn1,India voted Congratulations people India successful completion 2014 Lok Sabha elections http co uTexNQPMn1,India voted Congratulations people India successful completion 2014 Lok Sabha elections co uTexNQPMn1,india vote congratulations people india successful completion lok sabha elections utexnqpmn
2014-05-12 11:08:43+00:00,narendramodi,Met Shri PA Sangma http://t.co/bANMwXRqZm,Meet Shri PA Sangma http co bANMwXRqZm,Meet Shri PA Sangma co bANMwXRqZm,meet shri sangma banmwxrqzm
2014-05-12 11:04:45+00:00,narendramodi,This is curtain raiser for 16th May. Both states will give massive mandate for the TDP-BJP alliance in Parliament &amp; Assembly elections @ncbn,curtain raiser 16th May states give massive mandate TDP BJP alliance Parliament Assembly elections ncbn,curtain raiser 16th May states give massive mandate TDP BJP alliance Parliament Assembly elections ncbn,curtain raiser state massive mandate tdp bjp alliance parliament assembly elections ncb
