Date,User,Tweet
2013-12-31 19:48:23+00:00,sambitswaraj,@jiteng02 vande Mataram..n happy new year 2 u
2013-12-31 18:45:28+00:00,sambitswaraj,@yelvee $ HappyNaMoYear2014
2013-12-31 18:45:27+00:00,sambitswaraj,@SanmitraK1 #HappyNaMoYear2014
2013-12-31 18:39:39+00:00,sambitswaraj,@sheefal hello mam happy #NaMoDecade 2 u
2013-12-31 18:38:39+00:00,sambitswaraj,@nanditathhakur mam happy #NaMoYear2014
2013-12-31 18:37:58+00:00,sambitswaraj,@rupeshsingh10 happy #NaMoYear2014
2013-12-31 18:36:28+00:00,sambitswaraj,@atul0076 thx same 2 u
2013-12-31 18:32:44+00:00,sambitswaraj,Happy New Year my friends...its going to be #NaMoYear
2013-12-31 14:35:50+00:00,sambitswaraj,India News debate starts...Bijli..Pani..Rajneeti...
2013-12-31 13:47:15+00:00,sambitswaraj,I would also be on INDIA NEWS this New Year eve at 8pm..
2013-12-31 12:49:41+00:00,sambitswaraj,@tehseenp happy new year Tehseen
2013-12-31 12:47:27+00:00,sambitswaraj,@vivekbajpai1984 @newsnation hmmm :-)
2013-12-31 12:14:55+00:00,sambitswaraj,Friends today (31/12/13) I would be on @newsnation at 6.30pm..pls watch
2013-12-31 07:33:29+00:00,sambitswaraj,Rahul Gandhi will play big role in the future says Manish Tiwari..yes till now he was the Comedian #sosorry
2013-12-31 03:56:57+00:00,sambitswaraj,Free Water scheme merely a jugglery of numbers..most needly not benefited http://t.co/dLq8pXk81S via @NavbharatTimes
2013-12-31 03:38:31+00:00,sambitswaraj,Solution to Delhi Water woes lies not in one time populism but on a long term vision &amp;blueprint-Dr Patra on NDTV 24X7 http://t.co/2W7R6JBggF
2013-12-30 17:42:12+00:00,sambitswaraj,Why AAP's Delhi water charade is careless populism http://t.co/O0X2ULNVof
2013-12-30 17:02:30+00:00,sambitswaraj,@drunk_bull that was the wrong handle..ha ha..have modified in my next tweet @neeleshmisra
2013-12-30 16:58:45+00:00,sambitswaraj,"After a tiring Politically hectic day its always refreshing 2 hear @neeleshmisra &amp; d memorable hindi songs, in ""yaad Saher"":-)"
2013-12-30 16:21:03+00:00,sambitswaraj,Done with @ndtv 24x7 debate on Delhi water woes..on my way back..soothing oldies on FM with @nileshmishra ..new year..new mood :-)
2013-12-30 14:35:17+00:00,sambitswaraj,Year 2013 draws towards a close with drizzle &amp; Rain all over Delhi..awaiting for a foggy &amp; chilled beginning of 2014 #HappyNewYear
2013-12-30 13:25:48+00:00,sambitswaraj,@news24 debate starts...
2013-12-30 12:35:05+00:00,sambitswaraj,Friends today (30/12/13) I would be on @News24 at 7pm and @ndtv 24x7 at 9pm..pls watch.
2013-12-30 12:18:30+00:00,sambitswaraj,SP like doles...Delhi does a UP..
2013-12-30 12:16:52+00:00,sambitswaraj,"""Free water for three months""-and when summer dawns after 3mts then..then what? No water when it's needed most!!"
2013-12-30 11:00:28+00:00,sambitswaraj,Kejriwal to receive security from Delhi Police..but in Plain Clothes...my my such Hypocrisy..there's a hidden Agenda everywhere
2013-12-30 03:56:44+00:00,sambitswaraj,"Kejriwal 2 stay at Govt Guest house instead of CM House,Will mere exchange of ""Symbols"" suffice?Is ""alternative politics""alternate Symbolism"
2013-12-29 17:57:00+00:00,sambitswaraj,@Brijesh_kumar09 will take the advice :-)
2013-12-29 17:56:14+00:00,sambitswaraj,@shilpitewari thx Shilpi ji..:-)
2013-12-29 17:54:23+00:00,sambitswaraj,@Maveric1128 thx sir
2013-12-29 17:52:34+00:00,sambitswaraj,@shiv100285 :-)
2013-12-29 17:51:04+00:00,sambitswaraj,@shortyvipul @AnupamkPandey :-) thx Vipul ji
2013-12-29 17:49:57+00:00,sambitswaraj,@Letstalkmodi :-) same here
2013-12-29 17:48:48+00:00,sambitswaraj,@DushyantBikaner but we know u sir..pls keep up ur good work for @narendramodi ji
2013-12-29 17:47:11+00:00,sambitswaraj,@IamSrivatsanV we indeed had a blast of a time with friends like u..hope u all liked the session :-)
2013-12-29 17:46:05+00:00,sambitswaraj,@Deewanabharat thx Bharat ji :-)
2013-12-29 17:45:35+00:00,sambitswaraj,@AnupamkPandey thx Anupam ji..was good interacting with you :-)
2013-12-29 17:44:55+00:00,sambitswaraj,@upma23 thank you mam..the respect is mutual :-)
2013-12-29 16:30:27+00:00,sambitswaraj,"https://t.co/HaxvanPbUV Narendra Modi has long been victimized by Congress &amp; its sponsored agents, Congress should apologise-Dr Patra, CNBC"
2013-12-29 13:57:47+00:00,sambitswaraj,Friends today (29/12/13) I would be on @newsxonline (NEWS X) at 8pm #SpeakOutIndia and on @SaharaSamay at 9pm #ChangingPolitics
2013-12-29 10:17:39+00:00,sambitswaraj,"There's one ""Akashvani"" that speaks ""Nonsense"" #NaMoInRanchi"
2013-12-29 09:17:20+00:00,sambitswaraj,"""Will needed not mere Promises"" says Modi..friends lets Promise 2 support the Will of India-@narendramodi #NaMoInRanchi #WillOfIndiaModi"
2013-12-29 08:44:50+00:00,sambitswaraj,"Jhar-Khand ke ""Khand"" ""Khand"" pe Modi-Modi ka nara #NaMoInRanchi"
2013-12-29 07:12:24+00:00,sambitswaraj,"Today,Cricket Captain Dhoni's City will host the Political Captain of India @narendramodi ..Congress Master Blaster Modi #NaMoInRanchi"
2013-12-28 15:36:05+00:00,sambitswaraj,Uphill task for Kejriwal starts now: Sambit Patra - Video | The Times of India http://t.co/jieFnPNz0O
2013-12-28 14:54:54+00:00,sambitswaraj,On INDIA NEWS now
2013-12-28 14:14:30+00:00,sambitswaraj,"Today CM,Tomorrow PM is a Dangerous Predicament in Democracy,winning Trust &amp; getting Tested wid Time is of paramount importance in Democracy"
2013-12-28 13:50:47+00:00,sambitswaraj,Friends would be on @newsxonline (NEWS X) at 8pm..
2013-12-28 12:23:15+00:00,sambitswaraj,Would be on @newsnation at 6.30pm..
2013-12-28 11:27:20+00:00,sambitswaraj,Friends I would be o @indianews (INDIA NEWS) at 5pm...pls watch
2013-12-28 10:57:20+00:00,sambitswaraj,@tiwarikmohit :-)
2013-12-28 10:25:01+00:00,sambitswaraj,Friends catch me now 4pm on @timesnow ..thx
2013-12-28 10:13:36+00:00,sambitswaraj,Many many Happy Returns to @arunjaitley ji on his Birthday
2013-12-28 08:47:17+00:00,sambitswaraj,On @newsxonline (NEWS X) now..2.15pm
2013-12-28 07:31:04+00:00,sambitswaraj,On @HeadlinesToday 1pm-2pm
2013-12-28 04:28:27+00:00,sambitswaraj,@mylovenamo @abpnewstv :-)
2013-12-28 04:22:07+00:00,sambitswaraj,Would be on @abpnewstv (ABP NEWS) from 9.55am onwards..pls watch
2013-12-28 03:34:33+00:00,sambitswaraj,Farooq Sheikh passes away..remember him as a simpleton 'Boy next Door' hero..#RIPFarooq
2013-12-28 03:31:14+00:00,sambitswaraj,On @timesnow now..pls watch
2013-12-28 03:19:38+00:00,sambitswaraj,@hchaturv yes u r right..will take up the issue on an urgent basis..BTW some planning to this effect is on..thx :-)
2013-12-28 02:51:44+00:00,sambitswaraj,Morning comes with the Bad News of lives lost of passengers abroad the Bangalore-Nanded Exp.. my heart reaches out for the near &amp; dear ones!
2013-12-28 02:31:48+00:00,sambitswaraj,@jiteng02 @timesnow @abpnewstv the obvious swearing in of Delhi Govt :-)
2013-12-28 02:00:43+00:00,sambitswaraj,GM Friends..today(28/12/13) I would be on @timesnow (TIMES NOW) at 9am and @abpnewstv (ABP NEWS) at 10am..pls watch
2013-12-27 14:36:10+00:00,sambitswaraj,@DDNewsNight debate starts..8.10pm..
2013-12-27 12:29:59+00:00,sambitswaraj,Friends today (27/12/13)I would also be on @newsnation at 6.30pm and @CNBC Awaz at 7pm and @DDNewsNight at 8pm  ..pls watch..
2013-12-27 09:49:01+00:00,sambitswaraj,Friends today (27/12/13) I would be on @indiatvnews (INDIA TV) 5pm-6pm #AAPCon
2013-12-27 03:58:32+00:00,sambitswaraj,DPCC Pres. Lovely's office caught destroying dubious files..caught on a backfoot will Lovely now destroy there dubious relationship wid AAP?
2013-12-27 03:54:00+00:00,sambitswaraj,@ravishndtv or putting it other ways..Ghotale mai bhi Adarsh !!
2013-12-27 03:49:04+00:00,sambitswaraj,"102 yrs ago 2day ws d day Indian ""National Anthem"" was first sung..have the #BhatatBhagyaVidhata changed since then?..or is it still d West?"
2013-12-26 15:50:51+00:00,sambitswaraj,@onlyskr will soon put up a Punching DP :-)  ha ha..
2013-12-26 15:43:13+00:00,sambitswaraj,Friends today (26/12/13) I would also be on @timesnow at 9.50pm ..pls watch
2013-12-26 15:26:31+00:00,sambitswaraj,@kgarg06 ha ha ha...sweet one :-)
2013-12-26 14:29:59+00:00,sambitswaraj,On a debate on @HeadlinesToday with @ShivAroor ...some major Sting operation expected..starts at 8pm..hmm
2013-12-26 13:27:14+00:00,sambitswaraj,Friends today(26/12/13) I would be on @HeadlinesToday at 8pm #AAPCon
2013-12-26 11:32:05+00:00,sambitswaraj,"Victory of Truth...Falsehood falls flat...@narendramodi emerges as the follower of ""RAJDHARMA""...#NaMoWins"
2013-12-26 09:35:30+00:00,sambitswaraj,Beware Congress!!..people of India will 'Snoop' you till you are Routed #PoliticalVendetta
