Date,User,Tweet
2014-05-11 13:01:35+00:00,yadavakhilesh,"I have realized in this election that it is easy to be communal, but the need of the hour is to be secular and... http://t.co/V3rUYBPrbA"
2014-05-10 16:06:22+00:00,yadavakhilesh,Thanks to all the people who joined me for the road show today in Varanasi and a special thanks to the youth. You... http://t.co/z6NHQAH1Xo
2014-05-09 04:05:05+00:00,yadavakhilesh,Last few hours of campaigning. http://t.co/SzpHl0WM9K
2014-05-08 03:26:49+00:00,yadavakhilesh,"At Bhadohi.

The Bhadohi district is the biggest Carpet manufacturing center in India.

Construction of a 4 lane... http://t.co/AsZMMJXlIM"
2014-05-04 13:45:13+00:00,yadavakhilesh,"Please watch my interview tonight at 9pm, on NDTV 24x7."
2014-05-02 07:38:34+00:00,yadavakhilesh,At Azamgarh Airstrip http://t.co/nySn9Agvum
2014-05-02 05:14:18+00:00,yadavakhilesh,Today's interview is on Aaj Tak at 11:30am.
2014-05-01 10:35:06+00:00,yadavakhilesh,Samajwadi Party would stop Modi's model in UP. His model of dividing India. http://t.co/1WuIFBS4er
2014-04-28 17:19:35+00:00,yadavakhilesh,"Incredible turnout today, for our Roadshow in Lucknow. Thank you. http://t.co/xOp3UE7a4R"
2014-04-24 07:29:25+00:00,yadavakhilesh,Voting Day in Saifai. http://t.co/FzgjBcRkgJ
2014-04-24 04:21:45+00:00,yadavakhilesh,I posted a new photo to Facebook http://t.co/d25dsPFbQY
2014-04-24 02:54:23+00:00,yadavakhilesh,I posted a new photo to Facebook http://t.co/E5pHY7tWH4
2014-04-23 14:40:47+00:00,yadavakhilesh,"Happy to see the Samajwadi Party flag flying high all the way in Seattle, USA. Thank you for sharing. http://t.co/sijV71I6YW"
2014-04-20 10:32:47+00:00,yadavakhilesh,Tomorrow in Ahmedabad. http://t.co/49jYKGx808
2014-04-18 16:20:45+00:00,yadavakhilesh,"Flagged off the LED Vans that will be screening our commercials. These vans will be seen in Manipuri, Kannuaj,... http://t.co/GO00gdwhGG"
2014-04-17 11:35:20+00:00,yadavakhilesh,Today with Dimple at Nademau district Kannuaj. http://t.co/qKjVidXFuB
2014-04-17 02:39:44+00:00,yadavakhilesh,I posted a new photo to Facebook http://t.co/4NIeZltW4j
