Date,User,Tweet
2014-05-11 17:44:52+00:00,cpimspeak,"#TMC gangs in bikes roaming freely in Kashipur, Belgachia &amp; Beleghata, threatening people &amp; snatching voter ID cards from slum areas. (6/6)"
2014-05-11 17:44:41+00:00,cpimspeak,"Sunday morning: #CPIM Local Committee secretary Kalyan Samaddar suffered serious injuries in a #TMC attack in Kashipur, North Kolkata. (5/6)"
2014-05-11 17:44:25+00:00,cpimspeak,"Saturday night, #CPIM supporters attacked in Beleghata. But #TMC goons fled after women came out of their homes and chased them. (4/6)"
2014-05-11 17:44:08+00:00,cpimspeak,#CPIM supporters blocked roads in Belgharia demanding arrest of culprits. #TMC armed gangs again came and attacked the protestors. (3/6)
2014-05-11 17:43:30+00:00,cpimspeak,"List of #TMC attacks yesterday &amp; today: Saturday night, #CPIM office in Belgharia in DumDum attacked by a group of 30-odd TMC goons. (1/6)"
2014-05-11 17:30:07+00:00,cpimspeak,"#Mamata has been morally defeated at the Supreme Court on #Saradha; now she must be defeated in the people's court, says #SurjyaKantaMishra"
2014-05-11 17:24:05+00:00,cpimspeak,"#BimanBasu to #WestBengal voters: stand up to #TMC threats, cast your votes, protect your booth &amp; don't let your defence waiver for a second"
2014-05-11 17:22:07+00:00,cpimspeak,"After looting people’s pockets in #Saradha scam, #TMC is now looting people’s voices at the polling booths; stop rigging, demands #BimanBasu"
2014-05-11 06:03:46+00:00,cpimspeak,"#SantanaMondal symbolises courage displayed by women #CPIM workers in Bengal against #TMC assaults, says #BrindaKarat http://t.co/HUwUnjocVW"
2014-05-11 06:01:01+00:00,cpimspeak,"#SantanaMondal to #CPIM workers in Bengal: ""Don't worry about me; I know the days of #TMC's goondaraj are numbered."" http://t.co/jbmgr2Z233"
2014-05-11 05:58:22+00:00,cpimspeak,"""They will kill me? But how many will they kill? Many more will hold the red flag"", #SantanaMondal tells #BrindaKarat http://t.co/Rx3jCwze62"
2014-05-11 05:54:51+00:00,cpimspeak,"#SantanaMondal identified her attackers, all #TMC men. But even after 4 days, attackers not arrested. #BrindaKarat calls for protests."
2014-05-11 05:53:53+00:00,cpimspeak,"#TMC goons upset with #SantanaMondal as she voted for #CPIM &amp; her nephew #CPIM polling agent, she tells #BrindaKarat http://t.co/HgpKugBrzv"
2014-05-11 05:52:00+00:00,cpimspeak,"On 6 May, #SantanaMondal, #Dalit female agril labourer in Hooghly, attacked by #TMC goons with sharp daggers. They slashed her left breast."
2014-05-10 20:59:56+00:00,cpimspeak,#WestBengal Left Front asks #ECI to take immediate measures to ensure free &amp; fair polls on 12th May. Read at: http://t.co/t2iNnz2caH
2014-05-10 20:57:13+00:00,cpimspeak,"#BimanBose demands: arrest #TMC goons responsible for attack on Belgharia #CPIM office by 9 AM on 11th May, or else face strong agitation."
2014-05-10 20:54:47+00:00,cpimspeak,"In Belgharia attack by #TMC, 7 comrades, incl #CPIM State Committee member Sayandip Mitra, brutally attacked &amp; injured. All are hospitalised"
2014-05-10 20:51:20+00:00,cpimspeak,"With less than 48 hrs for polling, #TMC goons unleash violence. #CPIM office in Belgharia, under Dumdum constituency, attacked and ransacked"
2014-05-10 11:07:23+00:00,cpimspeak,Left Front in #WestBengal complains to #ECI over misleading TV ad on employment in #Gujarat. Complaint attached. http://t.co/ZmmcD6gqFI
2014-05-10 11:00:02+00:00,cpimspeak,http://t.co/6gzrbLa0r0
2014-05-10 08:39:53+00:00,cpimspeak,http://t.co/9SxopCqjPa
2014-05-09 18:50:15+00:00,cpimspeak,"As interim relief in #Saradha scam, the numerous assets of the company should be confiscated &amp; distributed among investors, says #BimanBose"
2014-05-09 18:50:01+00:00,cpimspeak,"Left Front's demand was Supreme Court-monitored #CBI probe on #Saradha scam. With CBI probe, we want SC's monitoring also, says #BimanBose"
2014-05-09 18:42:26+00:00,cpimspeak,"Left's Bengal model included India's best Panchayat system; numerous schools, colleges, roads &amp; power plants built, says #SurjyaKantaMishra"
2014-05-09 18:42:11+00:00,cpimspeak,"#Mamata should also know that under Left's Bengal model, State achieved food security &amp; record foodgrain production, says #SurjyaKantaMishra"
2014-05-09 18:41:54+00:00,cpimspeak,"Bengal Model starts with Left's land reform: 11 lakh acres given to landless, bargadars registered on 15 lakh acres, says #SurjyaKantaMishra"
2014-05-09 18:41:39+00:00,cpimspeak,#Mamata talks of Bengal Model v/s Gujarat Model. Will she accept Bengal Model is a product of 34 years of Left rule? asks #SurjyaKantaMishra
2014-05-09 18:28:19+00:00,cpimspeak,#SitaramYechury http://t.co/0T6tKfweNb
2014-05-09 08:33:13+00:00,cpimspeak,#CPIM Polit Bureau welcomes the Supreme Court's order for a CBI probe into #Saradha scam. Statement attached. http://t.co/2jjfnFLM3z
2014-05-08 17:56:01+00:00,cpimspeak,"The #CPIM never allowed #RSS to raise its head in #WestBengal. Now, #TMC is giving RSS chances to spread roots, says #BuddhadebBhattacharjee"
2014-05-08 17:55:37+00:00,cpimspeak,"#Gujarat Model sounds hollow when compared to the real development of rural #WestBengal during Left Front rule, says #BuddhadebBhattacharjee"
2014-05-08 17:55:09+00:00,cpimspeak,"Electing #Modi won't change the face of India's poverty; #BJP's economic policy identical to that of #Congress, says #BuddhadebBhattacharjee"
2014-05-08 17:54:52+00:00,cpimspeak,"#TMC not trustworthy; may shake hands with #BJP anyday; it is a single-leader party with no ideological basis, says #BuddhadebBhattacharjee"
