Date,User,Tweet,text,tokenize_text,polarity
2014-05-11 12:20:05+00:00,INCIndia,"Watch: #RahulGandhi's speech in Chandauli yesterday    
https://t.co/DKW0Bxk9hU",watch  speech in chandauli yesterday,watch speech chandauli yesterday,0.0
2014-05-11 12:15:38+00:00,INCIndia,Thank you Kashi! http://t.co/UURsXA61Z9,thank you kashi,thank kashi,0.0
2014-05-11 07:24:54+00:00,INCIndia,“@yuvadesh: Yuva Desh wishes all the mothers a very #HappyMothersDay http://t.co/WhpSnUq8gs” RT,yuva desh wishes all the mothers a very   rt,yuva desh wish mother rt,0.0
2014-05-11 04:39:09+00:00,INCIndia,Rahul Gandhi and @kashikirai greeting people during the Jan Sampark held in Varanasi yesterday http://t.co/mvZ8cAXgQ1,rahul gandhi and  greeting people during the jan sampark held in varanasi yesterday,rahul gandhi greeting people jan sampark held varanasi yesterday,0.0
2014-05-11 04:34:43+00:00,INCIndia,"Ustad Bismillah Khan's family playing ""Raghupati Raghav Raja Ram..."" during #RahulGandhi's road show in Varanasi http://t.co/8Hp9vN5SoD",Ustad Bismillah Khans Family Playing Raghupati Raghav Raja Ram During Roadshow In Varanasi,Ustad Bismillah Khans Family Playing Raghupati Raghav Raja Ram During Roadshow In Varanasi,0.0
2014-05-11 04:28:18+00:00,INCIndia,"जीतने वाला ‘अंपायर’ से झगड़ा नहीं करता :राहुल गांधी 
इंटरव्यू पढ़ें - http://t.co/HNFI1bjSFl","The donkey didn't fight with the opponent
Read Iterway",The donkey fight opponent Read Iterway,0.0
2014-05-11 04:26:56+00:00,INCIndia,"Congress will get the numbers, there will be no need to support any front: #RahulGandhi 
Read Interview in @HtTweets http://t.co/XqMsw67YCx","congress will get the numbers there will be no need to support any front  
read interview in",congress get number need support front read interview,0.0
2014-05-11 04:20:30+00:00,INCIndia,#RahulGandhi 's Jan Sampark in Varanasi yesterday http://t.co/rgnbEpr8R4,Sajan Sampark in Varanasi yesterday,Sajan Sampark Varanasi yesterday,0.0
2014-05-10 12:08:12+00:00,INCIndia,"स्थायी,प्रगतिशील,असम्प्रदायक राष्ट्र के लिए कांग्रेस के सभी प्रत्याशियों को विजय बनाये !
#VoteCongress http://t.co/pwNx5Ktloa",May the Congress win all its ideals for a stable and progressive non-communal nation,May Congress win ideal stable progressive non communal nation,0.8500000000000001
2014-05-10 12:06:59+00:00,INCIndia,"स्थायी,प्रगतिशील,असम्प्रदायक राष्ट्र के लिए कांग्रेस के सभी प्रत्याशियों को विजय बनाये !
#VoteCongress http://t.co/sY5xi4Ul88",May the Congress win all its ideals for a stable and progressive non-communal nation,May Congress win ideal stable progressive non communal nation,0.8500000000000001
2014-05-10 11:43:12+00:00,INCIndia,"धन्यवाद काशी !
#KashiKiRaiAjaiRai http://t.co/mlBziIZ1Y7",thank you puff,thank puff,0.0
2014-05-10 11:40:25+00:00,INCIndia,Rahul Gandhi and @kashikirai greeting the people during Jan Sampark in Varanasi #KashiKiRaiAjaiRai http://t.co/VuzhAh3gpv,rahul gandhi and greeting the people during jan sampark in varanasi,rahul gandhi greeting people jan sampark varanasi,0.0
2014-05-10 11:37:44+00:00,INCIndia,कुछ इस तरह से किया वाराणसी के लोगों ने राहुल गाँधी का स्वागत #KashiKiRaiAjaiRai http://t.co/jSGgvLtfDp,Something like this is the welcome of the donkey,Something like welcome donkey,0.8
2014-05-10 10:56:56+00:00,INCIndia,Rahul Gandhi greeting the sea of people during his Varanasi Jan Sampark today #KashiKiRaiAjaiRai http://t.co/GlIQd9DjXK,rahul gandhi greeting the sea of people during his varanasi jan sampark today,rahul gandhi greeting sea people varanasi jan sampark today,0.0
2014-05-10 07:54:59+00:00,INCIndia,"Watch LIVE : #RahulGandhi's public rally in Chandauli, Uttar Pradesh 
https://t.co/DKW0Bxk9hU 
#KashiKiRaiAjaiRai",watch live   public rally in chandauli uttar pradesh,watch live public rally chandauli uttar pradesh,0.06818181818181818
2014-05-10 07:49:08+00:00,INCIndia,"Watch: Rahul Gandhi's road show in Varanasi 
https://t.co/QtTnxm6baQ
#KashiKiRaiAjaiRai",watch rahul gandhis road show in varanasi,watch rahul gandhi road show varanasi,0.0
2014-05-10 07:46:01+00:00,INCIndia,Watch: Family of Ustad Bismillah Khan playing Shehnai for Rahul Gandhi in Varanasi https://t.co/CUKW47p8OO #KashiKiRaiAjaiRai,Watch Family Of Ustad Bismillah Khan Playing Shehnai For Rahul Gandhi In Varanasi,Watch Family Of Ustad Bismillah Khan Playing Shehnai For Rahul Gandhi In Varanasi,0.0
2014-05-10 07:34:18+00:00,INCIndia,Rahul Gandhi pays tribute to Mahamana Pandit Madan Mohan Malviya during his road show in Varanasi #KashiKiRaiAjaiRai http://t.co/YnyElZj4Bk,Rahul Gandhi Pays Tribute To Mahamana Pandit Madan Mohan Malviya During His Roadshow In Varanasi,Rahul Gandhi Pays Tribute To Mahamana Pandit Madan Mohan Malviya During His Roadshow In Varanasi,0.0
2014-05-10 07:17:59+00:00,INCIndia,"RT @ANI_news Rahul Gandhi pays tribute to Pt.Madan Mohan Malaviya's statue 
#KashiKiRaiAjaiRai",rt rahul gandhi pays tribute to ptmadan mohan malaviyas statue,rt rahul gandhi pay tribute ptmadan mohan malaviyas statue,0.0
2014-05-10 07:03:27+00:00,INCIndia,"“@ETVUPLIVE: Correction: One of pic in the name of Rahul Gandhi's raod show at Varanasi posted here by mistake, that pic removed now.”RT",correction one of pic in the name of rahul gandhi's road show at varanasi posted here by mistake that pic removed now,correction one pic name rahul gandhi road show varanasi posted mistake pic removed,0.0
2014-05-10 06:01:20+00:00,INCIndia,Massive crowds descend as Rahul Gandhi's road show moves through the streets of Varanasi #KashikiRaiAjayRai http://t.co/YdLfMywzyx,massive crowds descend as rahul gandhis road show moves through the streets of varanasi,massive crowd descend rahul gandhi road show move street varanasi,0.0
2014-05-10 05:12:32+00:00,INCIndia,Rahul Gandhi and @kashikirai greet people as they come out in large numbers in Varanasi http://t.co/hHsUizbRr1,rahul gandhi and  greet people as they come out in large numbers in varanasi,rahul gandhi greet people come large number varanasi,0.21428571428571427
2014-05-10 05:03:18+00:00,INCIndia,Varanasi has come with full strength to bless Rahul Gandhi #KashiKiRaiAjaiRai http://t.co/FktRYjY1xp,varanasi has come with full strength to bless rahul gandhi,varanasi come full strength bless rahul gandhi,0.35
2014-05-10 04:46:06+00:00,INCIndia,People at Rahul Gandhi's road show in Varanasi today #KashiKiRaiAjaiRai http://t.co/xL18KaRkvd,people at rahul gandhis road show in varanasi today,people rahul gandhi road show varanasi today,0.0
2014-05-10 04:44:25+00:00,INCIndia,Scenes from Rahul Gandhi's Jan Sampark in Varanasi today http://t.co/P93qRpS50L,Scenes from Rahul Gandhi's public contact in Varanasi today,Scenes Rahul Gandhi public contact Varanasi today,0.0
2014-05-10 04:42:47+00:00,INCIndia,Rahul Gandhi's  road show in Varanasi today http://t.co/vLa3bIKnud,rahul gandhis  road show in varanasi today,rahul gandhi road show varanasi today,0.0
