Date,User,Tweet
2014-04-09 17:48:40+00:00,ShashiTharoor,"A case for co-operative, empowering leadership, in 3 minutes: https://t.co/wYqD9Uc5ig @INCIndia"
2014-04-09 17:39:18+00:00,ShashiTharoor,Communists violating ElectionCode ofConduct by encroaching on our authorised route yesterday. Need2give EC more teeth http://t.co/n3QnERj4uX
2014-04-09 17:38:35+00:00,ShashiTharoor,RT @INCIndia:भारत के मज़बूत हाथ  विडियो देखें -http://t.co/6KWy0hdwQL … #BharatKeMazbootHaath
2014-04-09 15:55:51+00:00,ShashiTharoor,Vote for UDF! Scene from yesterday's final rally in Thiruvananthapuram's coastal area http://t.co/1AsZBb3Sk3
2014-04-09 15:52:23+00:00,ShashiTharoor,"On eve of Voting Day in Kerala,  ruefully realise that campaigning made me miss the entire World T20. Must watch highlights for next 2 weeks"
2014-04-09 08:47:44+00:00,ShashiTharoor,Tharoor’s rivals take the battle to the Web | Business Line http://t.co/DIxmtXByrb
2014-04-09 08:19:52+00:00,ShashiTharoor,@deetalkz we did it last time and yes we intend to do the same again this year.
2014-04-09 08:18:03+00:00,ShashiTharoor,RT @INCIndia: Is Shri Narendra Modi scared of competing with developed states? Watch Here https://t.co/AmLTPNMTkj
2014-04-09 08:16:44+00:00,ShashiTharoor,"RT @INCIndia #ABillionandOneVoices -Every Indian matters. We must move forward, together! Watch https://t.co/Ro3ZAT2ydb"
2014-04-09 02:03:48+00:00,ShashiTharoor,"@narendramodi But the BJP is like a rotten orange: saffron outside &amp; dried-up to khaki inside, with no healthy, life-protecting ingredients"
2014-04-09 02:00:21+00:00,ShashiTharoor,@narendramodi says Congress is like a watermelon: a highly nutritious fruit with an impressive concentration of healthy ingredients.Thanks!
2014-04-08 15:35:44+00:00,ShashiTharoor,Unbroken News: @ShashiTharoor slams false accusations: https://t.co/ZnR06tUO6x
2014-04-08 15:17:08+00:00,ShashiTharoor,"Campaigning is a way of affirming your bond with your electorate: the exchange of promises&amp;compromises, hopes&amp;expectations, that = democracy"
2014-04-08 15:12:38+00:00,ShashiTharoor,Paryadanam memories: warm smiles from waving constituents; excited tiny tots; strangers welcoming me into their homes for tea&amp;toilet breaks
2014-04-08 14:09:38+00:00,ShashiTharoor,"Campaign over. Now for the lull before Voting Day. Some relative rest for aching limbs, knees &amp; feet, but not yet for the ragged voice!"
2014-04-08 13:24:58+00:00,ShashiTharoor,@GuzzlersInc @balan_c76 all of it. Check out my Report on http://t.co/TYZc9kaSjd for full details.
2014-04-08 13:23:52+00:00,ShashiTharoor,@iKabirBedi Thanks Kabir. Great to have your endorsement!
2014-04-08 13:22:02+00:00,ShashiTharoor,@noworriespal Not one paisa. All Central Funds go straight to State Government &amp;expenditures are sanctioned by administrators.
2014-04-08 11:43:28+00:00,ShashiTharoor,Minutes b4 campaign concludes here's an album of pics by @georgeing12 with some moments&amp;scenes from the last 3weeks: https://t.co/w2Ds8LfHC7
2014-04-08 11:18:03+00:00,ShashiTharoor,Some transcription errors in the exhaustive @dna interview below including a question appearing as an answer and so on! @PragyaTiwari
2014-04-08 11:09:37+00:00,ShashiTharoor,Malayalam version of my letter of thanks 2the ppl of Tvm 4their support over 5 yrs &amp;during my re-election campaign https://t.co/LE6nC1e0D9
2014-04-08 11:06:04+00:00,ShashiTharoor,@JibiAnnie Thanks. Unfortunately we are in a political climate where even a funeral (or death) gets politicized by narrow minded elements.
2014-04-08 10:46:57+00:00,ShashiTharoor,Posting a direct link 2 the endorsements my team and I have received from members of the public for our work in Tvm: https://t.co/XMJPdgIhmv
2014-04-08 09:42:47+00:00,ShashiTharoor,A website link to my thank you message to the people of Thiruvananthapuram as EC's campaign deadline approaches: http://t.co/QWnQBeNi0k
2014-04-08 09:03:22+00:00,ShashiTharoor,My message thanking the people of TVM for their support over the last 5 years even as we look forward to the next 5! https://t.co/jRJhjW20dJ
